Isotope,Energy (keV),Absolute emission probability (%),Category,Sub-category
K-40,1460,10.55,Nuclear Power Plant,NORM
Mn-54,835,100,Nuclear Power Plant,IND
Fe-59,1099,56.5,Nuclear Power Plant,OTHER
Co-57,122,85.5,Nuclear Power Plant,IND
Co-58,810,99.4,Nuclear Power Plant,IND
Co-60,1332,100,Nuclear Power Plant,IND
Zn-65,1115,50,Nuclear Power Plant,OTHER
Zr-95,724,44,Nuclear Power Plant,OTHER
Nb-95,765,100,Nuclear Power Plant,OTHER
Ru-106,512,21,Nuclear Power Plant,OTHER
Ag-110m,657,100,Nuclear Power Plant,OTHER
Sb-124,602,97,Nuclear Power Plant,OTHER
I-131,364,81,Nuclear Power Plant,MED
Cs-134,604,97,Nuclear Power Plant,IND
Cs-137,662,85,Nuclear Power Plant,IND
La-140,487,46,Nuclear Power Plant,OTHER
Ce-144,133,11,Nuclear Power Plant,OTHER
Ra-226,186,3.5,Nuclear Power Plant,NORM
Th-232,63,0.3,Nuclear Power Plant,NORM
Mo-99,140,89.6,Nuclear Power Plant,MED
U-237,59,34,Nuclear Power Plant,SNM
Eu-152,121,28.6,Nuclear Power Plant,IND
Ra-226,186,3.5,Nuclear Power Plant,NORM
Th-232,63,0.3,Nuclear Power Plant,NORM
Th-228,84,1.2,Nuclear Power Plant,IND
Pu-241,148,0.0002,Nuclear Power Plant,SNM
U-232D,58,0.2,Nuclear Power Plant,SNM
511 keV,511,100,Nuclear Power Plant,OTHER
Lu-177,208,10.4,Nuclear Power Plant,MED
U-235,185,57,Nuclear Power Plant,SNM
U-238,49,0.07,Nuclear Power Plant,SNM
K-40,511,0.002,Nuclear Power Plant,NORM
Fe-59,1291,43.2,Nuclear Power Plant,OTHER
Co-57,136,10.7,Nuclear Power Plant,IND
Co-58,511,30,Nuclear Power Plant,IND
Co-60,1173,100,Nuclear Power Plant,IND
Zn-65,511,3,Nuclear Power Plant,OTHER
Zr-95,756,54,Nuclear Power Plant,OTHER
Ag-110m,677,11,Nuclear Power Plant,OTHER
Sb-124,1690,47,Nuclear Power Plant,OTHER
I-131,284,6,Nuclear Power Plant,MED
Cs-134,795,85,Nuclear Power Plant,IND
La-140,815,24,Nuclear Power Plant,OTHER
Ce-144,80,1,Nuclear Power Plant,OTHER
Th-232,140,0.02,Nuclear Power Plant,NORM
Mo-99,739,12.1,Nuclear Power Plant,MED
U-237,208,21,Nuclear Power Plant,SNM
Eu-152,344,26.6,Nuclear Power Plant,IND
Th-232,140,0.02,Nuclear Power Plant,NORM
Th-228,215,0.3,Nuclear Power Plant,IND
Pu-241,103,0.0001,Nuclear Power Plant,SNM
U-232D,129,0.07,Nuclear Power Plant,SNM
Lu-177,112,6.2,Nuclear Power Plant,MED
U-235,143,10.9,Nuclear Power Plant,SNM
U-238,113,0.017,Nuclear Power Plant,SNM
Na-22,511,180,Homeland Security,IND
K-40,1460,10.55,Homeland Security,NORM
Cr-51,320,10,Homeland Security,MED
